Times_s,X_m,Y_m,Z_m,U_mpers,V_mpers,W_m_s,tcr_pitch_rad,tcr_yaw_rad,pitch_rate_rad,yaw_rate_rad
0,833851.625810815,6256501.20700102,1405256.11339669,-1157.58050143751,0.745626331808077,-733.289655957345,2.68879635769372,2.35285417476276,-0.0174532925199433,7.65268534793408e-18
0.14386603074933,833685.076574352,6256501.21871683,1405150.59640584,-1157.75738900686,-0.582757660052482,-733.588801036905,2.68635697634824,2.35285357974117,-0.0173857390946975,0
0.481949366654186,833293.587841399,6256500.49399285,1404902.46343422,-1158.17295305091,-3.70451658763438,-734.291704236161,2.68023034834022,2.35285566649486,-0.0174532925199433,1.03387976603789e-17
1.01236967488588,832679.096556589,6256497.23003998,1404512.68776502,-1158.82455142703,-8.60258252183305,-735.394325595139,2.6715054787422,2.35285154984053,-0.0173400721304361,0
1.73382767717632,831842.733797759,6256488.62027074,1403981.59077087,-1159.7101576107,-15.2652166609065,-736.893641818651,2.65803996576601,2.3528581427064,-0.0174532925199433,0
2.64460487612453,830785.987565986,6256470.88640242,1403309.58311276,-1160.82692541698,-23.6772302960956,-738.785821506891,2.64390272423222,2.35284866448141,-0.0171223609994945,0
3.74253893052219,829510.737827334,6256439.32296491,1402497.19325435,-1162.17154754571,-33.8190756508411,-741.065838299163,2.62178537555405,2.3528614254345,-0.0174532925199433,3.47220107012899e-17
5.02502488995629,828019.263357303,6256388.35280186,1401545.07958619,-1163.73958750617,-45.6677904685113,-743.727825903221,2.61463356510539,2.35284498035498,0.00229052597236923,-1.54074395550979e-33
6.48902049954817,826314.245158059,6256311.59308244,1400454.04195705,-1165.5266690325,-59.1960247175445,-746.764909897968,2.6115564495091,2.35286552697033,-0.00615802045670542,0
8.13105315490783,824398.770286875,6256201.93132638,1399225.034987,-1167.5255813274,-74.3727779062012,-750.167984043119,2.61182327431237,2.35284043491797,0.00653482330928839,0
9.94722804464603,822276.336412889,6256051.61109319,1397859.1838134,-1169.73071376146,-91.1630283269201,-753.928105776817,2.60699978267355,2.35287055299619,-0.0174532925199433,1.07497394623156e-17
11.9332373495464,819950.853015083,6255852.324945,1396357.79714859,-1172.13264724705,-109.527202822471,-758.033447390692,2.56275537229275,2.35283488089935,-0.0174532925199433,0
14.0843704424249,817426.65277283,6255595.32175751,1394722.39315675,-1174.72256632828,-129.420632149474,-762.470620880319,2.53945311847717,2.35287669431527,-0.011174890091866,3.08148791101958e-33
16.3955250523715,814708.478007702,6255271.50383343,1392954.69839268,-1177.49832246562,-150.802233626154,-767.235619655906,2.50076066115047,2.35282807921227,-0.0174532925199433,2.13690060778888e-17
18.8612193620822,811801.487515306,6254871.54344037,1391056.67074803,-1180.44879502869,-173.619169587715,-772.311625177528,2.47607362584422,2.35288424581684,-0.00449979480285992,0
21.4756050074986,808711.260695532,6254385.99942175,1389030.5193264,-1183.566794408,-197.822467924511,-777.689110771411,2.46019920102896,2.35281966850542,-0.00718820741657334,3.11808543852773e-18
24.2324809479429,805443.79799252,6253805.43959017,1386878.72288235,-1186.84053855306,-223.35126234912,-783.349096067543,2.45934396322093,2.35289364987095,0.00835205059262613,0
27.1253081733642,802005.523237138,6253120.55917666,1384604.04851533,-1190.25956737686,-250.153867131934,-789.279349573844,2.49008078553569,2.35280910572851,0.00872664625997165,0
30.1472252135575,798403.291392208,6252322.29116355,1382209.57470937,-1193.80681423112,-278.168476066428,-795.456133942511,2.51094135963182,2.35290557679867,0.00677622098753042,3.56158421397721e-17
33.2910644124297,794644.389420643,6251401.92710457,1379698.70737173,-1197.46932577352,-307.337999460594,-801.865813438933,2.51761345938829,2.35279555703108,-0.00655284729632145,2.98526916703698e-17
36.549368928633,790736.531443878,6250351.26532698,1377075.20050359,-1201.23166928893,-337.57485528262,-808.480537070262,2.47605392117849,2.3529210740518,-0.0133445724696816,-1.54074395550979e-33
39.9144104221945,786687.848363753,6249162.77304968,1374343.17441423,-1205.08152740609,-368.798236110533,-815.282775513066,2.43288288201958,2.35277769107936,-0.0174532925199433,2.44223175842162e-17
43.378207385164,782506.881177379,6247829.74054076,1371507.13996226,-1209.00899625725,-400.881875418557,-822.239367114561,2.35915306423165,2.35294185743405,-0.0156903763633517,3.17049904677662e-18
46.9325440727825,778202.5532522,6246346.47251658,1368572.01289293,-1212.99076936203,-433.735907324895,-829.321199653484,2.36067790681607,2.35275326028419,0.00872664625997164,6.18343967598722e-18
50.5689899902595,773784.354470628,6244708.16761937,1365543.23447701,-1216.94394768866,-467.294344086436,-836.44841488186,2.34571517059484,2.3529709279913,-0.0170269928292613,6.29252089840033e-18
54.2789198889293,769262.234825174,6242911.32502081,1362426.77202883,-1220.88757603197,-501.321906850294,-843.590876301547,2.29883447376151,2.35271816567584,-0.00348210698214329,0
58.0535342243534,764646.528618289,6240954.19251724,1359229.16767359,-1224.72788805737,-535.621896693578,-850.629077329508,2.29120781814228,2.35301403939182,-0.00385177919021916,5.87197520327909e-18
61.8838800278421,759948.427399558,6238836.49528054,1355957.8439607,-1228.28894986439,-570.055106870682,-857.398403939673,2.2947880176325,2.35266405095824,0.00872664625997165,0
65.7608721418868,755180.544920774,6236559.41136205,1352621.48524263,-1231.10628435278,-604.5750129407,-863.556466470798,2.33560458004774,2.35308403448581,0.00872664625997165,1.45535458361531e-07
69.6753147691336,750357.865816999,6234125.21628044,1349230.89379217,-1232.710586233,-638.969937556705,-868.520016741118,2.36865139859644,2.35257145059883,0.00870513553637152,0
73.617923283786,745497.527522885,6231540.09540117,1345800.02104766,-1232.37238806127,-672.052165610052,-871.485854772324,2.38411551862718,2.35321779206022,-0.000797428130839529,1.90759153455737e-06
77.5793462537005,740622.019844681,6228817.0650399,1342346.83017785,-1228.40017767195,-701.787492631474,-871.166905017242,2.39817010914279,2.35238426496724,0.00869789033539718,0
81.5501876209409,735760.776357962,6225984.74952007,1338898.36104588,-1218.76427697828,-722.894902425271,-864.253974348034,2.39581426624464,2.3535553083923,-0.014898220473355,8.19877916211683e-21
85.5210289881812,730959.740730447,6223091.55754521,1335499.55926629,-1196.32472782005,-732.245312392053,-844.748376391068,2.33554805656263,2.35164486435118,-0.00620812566246544,0
89.4824519580957,726301.408481994,6220200.10827223,1332228.25506251,-1151.11655542449,-722.954471120962,-801.979734397428,2.31132065776036,2.3591816204433,-0.0174532925199433,0.00321205532492869
93.4250604727481,721897.529441559,6217428.25230318,1329203.81698114,-1077.89580280179,-675.306612058087,-725.936980722979,2.21532933533543,2.37017105417934,-0.0166199686821989,0.00262372357202427
97.3395030999949,717868.876946947,6214951.21052196,1326574.22085283,-975.910739841986,-584.2757188042,-611.512484451409,2.2194133133149,2.38557357527283,0.00825015340047181,0.00488343671975684
101.21649521404,714314.524943594,6212898.23085009,1324460.33094304,-856.443234391409,-474.245786172665,-479.379333305634,2.20755512692543,2.40159496728142,-0.012245713073339,0.00418215617476126
105.046841017528,711251.890750529,6211277.87914413,1322849.46003289,-746.546674692227,-374.992803179632,-365.781827209343,2.17162593866021,2.43405898719967,-0.00605166461916147,0.0129398084689041
108.821455352952,708592.637331588,6210014.99813452,1321647.56944761,-667.734909336797,-297.513508805582,-274.114188856916,2.13230962580803,2.47088822824849,-0.0164722800332086,0.00229744479919209
112.531385251622,706218.956815927,6209021.9224328,1320761.25048882,-614.957990489046,-241.461032205114,-209.040181138896,2.06503620278373,2.46307631227703,-0.0168756863248854,0
116.167831169099,704051.348157124,6208208.65445885,1320073.04319694,-580.029179487638,-209.737116981356,-172.613423755375,2.01816332276178,2.49843596279599,-0.00942754580880476,0.017027898526634
119.722167856718,702028.595003842,6207491.01663853,1319505.68831289,-559.60073274715,-195.710391770335,-147.710360794354,1.97667327369874,2.54590918932352,-0.0169594721189345,0.00623050394006671
123.185964819687,700118.529305184,6206828.67076134,1319025.87283789,-543.571602201793,-187.13019134712,-130.452677384872,1.90926699895033,2.55290217624838,-0.0174532925199433,0.0016304360902381
126.551006313249,698310.405304118,6206211.11112934,1318610.0439047,-532.035116147148,-179.687482608643,-116.635699353243,1.8634795732025,2.5679087127116,-0.0128717679999595,0.00593164141884055
129.809310829452,696589.751566395,6205641.86549355,1318252.3688226,-524.240407075263,-168.966453766592,-103.003791598713,1.81908939363063,2.58058697588263,-0.0113759299072913,0.00165295358840841
132.953150028324,694953.44428688,6205131.23002054,1317948.51498696,-516.79461907874,-155.615379896447,-90.2812670705193,1.79522021468191,2.58601466688714,-0.00679128848838165,0.00258722197979239
135.975067068518,693401.41859372,6204680.41092184,1317693.53845989,-510.552833270737,-143.387077288251,-78.9364227719975,1.77214995291344,2.59322912936591,-0.00515664772255206,0.00136726089558688
138.867894293939,691932.353916069,6204275.14273924,1317476.38320808,-505.07735727008,-137.74388258538,-71.6840056966404,1.77084660866796,2.59460639453844,0.000425607139505321,0
141.624770234383,690548.597167545,6203904.40405419,1317288.41820926,-498.328148995192,-129.220319876863,-64.0371170145198,1.75664386030503,2.594065541364,-0.0098237915631107,1.9822580205563e-17
144.2391558798,689255.90270906,6203589.08691245,1317133.99152013,-490.808408433304,-111.413730359741,-53.9603569888246,1.72748916981644,2.59887230273313,-0.0131117500123561,0.00378494964608846
146.70485018951,688051.726274727,6203332.06722257,1317011.80828157,-486.343819748086,-98.3168750915408,-45.538183849278,1.68836219824953,2.60551055738422,-0.0174135848097388,2.26537264883878e-18
149.016004799457,686932.217371314,6203114.33201977,1316913.13775327,-482.146285335433,-90.3244867274512,-40.3872229712658,1.64747822480742,2.60277575981945,-0.0174532925199433,5.04595897890509e-18
151.167137892335,685900.080730663,6202927.83966589,1316829.22685351,-477.644567540604,-82.8726379513342,-37.7000190593452,1.62902410407623,2.61217440999837,0.00587477166270455,0.0094896416465562
153.153147197236,684954.396832627,6202771.83929061,1316757.67883783,-474.874244340082,-73.667918382512,-34.0009278862385,1.65134583448745,2.63983853347787,0.00386494372506244,0.0159840444815001
154.969322086974,684094.342046323,6202648.67121629,1316700.17832282,-471.955600305691,-60.8125999808025,-29.0898893305481,1.63101636924404,2.65659909293414,-0.0174532925199433,0
156.611354742334,683322.767646563,6202564.90409538,1316657.35274179,-467.560937040605,-39.0503675115225,-22.6274271029037,1.61301051922112,2.6575834309145,-0.00886681367967417,0.0092845165725682
158.075350351925,682641.564233726,6202527.35742045,1316629.48505836,-463.109558013188,-12.0064974665244,-15.4530434145448,1.5945414052315,2.68253601709435,-0.00896611459235946,0.0158203889051142
159.35783631136,682049.801333867,6202525.49423977,1316613.18940908,-459.850566543946,7.96485260797127,-10.2361343648991,1.59878592824319,2.68921479294746,0.00650763991144324,0
160.455770365757,681546.215391394,6202541.39247973,1316603.82751411,-457.535638387862,20.5657751659408,-6.96043715993605,1.58954089919726,2.69912105755563,-0.0174532925199433,0.0172451276127362
161.366547564705,681130.316219659,6202564.48269775,1316598.56207485,-455.749396165719,30.1665637659586,-4.60474785430738,1.58618809784356,2.70960418044707,0.00820469184260569,0.00311108191726113
162.088005566996,680802.031780585,6202589.10404063,1316595.93649054,-454.304361363619,38.1672679795324,-2.6614807131405,1.58343760307413,2.71471277605634,-0.0174532925199433,0.0174532925199433
162.618425875228,680561.340642559,6202610.95097621,1316594.90248766,-453.247925609058,44.1991266338409,-1.24712416526486,1.57948813435938,2.7256133351953,0.00729417022992627,0.015676309068838
162.956509211132,680408.21777064,6202626.5365995,1316594.62973377,-452.581290901832,47.9981428188866,-0.367165189761387,1.57916436022716,2.72848664611826,-0.0174532925199433,0.00550577136675275
163.100375241882,680343.127073116,6202633.55835012,1316594.60372594,-452.298273234552,49.617808928807,0.00493060507737835,1.57740143076834,2.7299303093223,0.00872664625997164,0.017154618629387
